Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
FACE;ECONOMIA MATEMÁTICA;-;-;100;Sexta;09:30;11:00;1/07/2016;11/07/2016
ENG;ELEMENTOS DE MÁQUINAS;-;-;30;Quinta;14:50;17:10;1/07/2016;11/07/2016
ENG;ELEMENTOS DE MÁQUINAS;-;-;30;Terca;14:50;17:10;1/07/2016;11/07/2016
ENG;ELEMENTOS DE MÁQUINAS;-;EA;42;Quinta;14:55;16:35;1/07/2016;11/07/2016
ENG;ELEMENTOS DE MÁQUINAS;-;EA;42;Terca;14:55;16:35;1/07/2016;11/07/2016
FACE;EMPREENDEDORISMO;-;-;90;Quinta;19:00;22:30;1/07/2016;11/07/2016
ENG;ENGENHARIA QUÍMICA;-;EQM042;30;Quarta;09:25;11:05;1/07/2016;11/07/2016
ENG;ENGENHARIA QUÍMICA;-;EQM042;30;Segunda;07:30;11:05;1/07/2016;11/07/2016
EBA;ERGONOMIA;-;-;30;Quarta;19:00;22:30;1/07/2016;11/07/2016
ENG;ERGONOMIA DE CONCEPÇÃO;-;-;42;Quarta;09:25;11:05;1/07/2016;11/07/2016
ENG;ERGONOMIA DE CONCEPÇÃO;-;-;42;Segunda;09:25;11:05;1/07/2016;11/07/2016
EBA;ERGONOMIA VISUAL;-;-;30;Quinta;14:00;17:30;1/07/2016;11/07/2016
FAFICH;ESPAÇO AGRÁRIO DO BRASIL;GEL057;A;30;Sexta;19:00;22:30;1/07/2016;11/07/2016
FALE;ESPANHOL BI - 1º;-;2;30;Quarta;17:00;18:40;1/07/2016;11/07/2016
FALE;ESPANHOL BI - 1º;-;2;30;Segunda;17:00;18:40;1/07/2016;11/07/2016
FALE;ESPANHOL PARA FINS ACADÊMICOS;-;-;40;Quinta;17:00;18:40;25/03/2016;29/05/2016
FALE;ESPANHOL PARA FINS ACADÊMICOS;-;-;40;Quinta;17:00;18:40;25/03/2016;29/05/2016
FALE;ESPANHOL PARA FINS ACADÊMICOS;-;-;40;Terca;17:00;18:40;25/03/2016;29/05/2016
FALE;ESPANHOL PARA FINS ACADÊMICOS;-;-;40;Terca;17:00;18:40;25/03/2016;29/05/2016
FALE;ESPANHOL PARA TURISMO;-;-;40;Quinta;15:30;17:10;1/07/2016;11/07/2016
FALE;ESPANHOL PARA TURISMO;-;-;40;Terca;15:30;17:10;1/07/2016;11/07/2016
FAFICH;ESTADO MODERNO E CAPITALISMO M;-;M;63;Quinta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;ESTADO MODERNO E CAPITALISMO M;-;M;63;Terca;19:00;20:40;1/07/2016;11/07/2016
FAFICH;ESTADO MODERNO E CAPITALISMO P;-;P;63;Quinta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;ESTADO MODERNO E CAPITALISMO P;-;P;63;Terca;20:50;22:30;1/07/2016;11/07/2016
